id,branch_id,designation_id,name,code,fathers_name,mothers_name,spouse_name,permanent_address,present_address,last_achieved_degree,date_of_birth,date_of_joining,date_of_discontinue,secuirity_money,starting_salary,current_salary,national_id,smart_id,blood_group,gender,mobile_no,email,status,employee_picture,refence_info_1,refence_info_2,attached_documents,is_field_officer,is_manager,id_sequence_no,sync_date,field_officer_pin,nominee_info
3,2,4,Thaiusa Chakma,101,Pusapu Chakma,abc,,"Vill-Lambaghona, Post-Hoyankang, Teknaf, Cox;s Baz",Cox's Bazar Sadar,4,1988-03-11,2017-02-16,2019-07-22,,,,0,,0,M,,,0,,,,,1,0,,0000-00-00,,
4,2,4,Osman sarwar,BGS-0057,Md. Kalu,Laila Begum,,"Sarke Mohammod Char,Chiringa,Cox'sBazar.","Sarke Mohammod Char,Chiringa,Cox'sBazar.",4,1984-07-31,2007-04-07,2022-11-20,,7000,19875,2.21166E+12,,O+,M,01838933741,,0,,,,,1,0,,0000-00-00,,
43,2,5,Lipika Das ,117,Rangjeat Das,sdf,,"Vill- Kasiarbill, Post-Ukhia, Ukhia, Cox's Bazar. ",Cox's Bazar,4,1989-05-10,2014-05-03,2019-07-22,,9000,,0,,0,F,,,0,,,,,1,0,,,,
55,2,3,Monour  Hossain,BGS-0427,Late-Golam Rasul Joarder,Anowara Khatun,,"Vill:Sadekpur,Post:Kancher Kol ,Thana:Shailkupa,Di","Vill:Sadekpur,Post:Kancher Kol ,Thana:Shailkupa,Di",16,1986-01-16,2013-08-17,2020-12-23,,7500,23463,1.98644E+16,,A+,M,01734554588,monoar86@yahoo.com,0,,,,,0,0,,0000-00-00,,
58,2,3,Delowar Hossain,BGS-0024,Sohorub Hossain,Rokeya Khatun,Kamrumnaher Mou,"Vill- Nadpara, Post-Nadpara,Upazila-Shailkupa, Dis","Ullapara, Sirajgonj.",5,1980-10-07,2000-10-10,2021-03-24,0,9000,22975,5539252154,,A+,M,01632282082,bgsdelowar@gmail.com,0,,"Monoar Hossain, Mob-01734554588","Nasir Uz Zaman, Mob-01717097087",,0,0,,0000-00-00,,
60,2,3,Indrajit Paul,BGS-0020,Late Rakhal Chandra Paul,Rina Rani Paul,KANCHONA BALA DEY,"Putibila Paul Para ,Gorakghata, Moheshkhali, Cox's","Putibila Paul Para ,Gorakghata, Moheshkhali, Cox's",4,1975-11-29,1996-04-01,2022-07-30,,1200,12550,2.2249E+12,,AB+,M,01855547077,,0,,,,,0,0,,0000-00-00,,
66,2,3,Rezaul Karim Babul,BGS-0018,Mostak Ahammed Sikder,Late-Hazara Begum,,"Sikderpara,Matarbari,Moheskhali,Cox'sBazar.","Sikderpara,Matarbari,Moheskhali,Cox'sBazar.",5,1970-10-13,1999-10-12,,0,15000,28100,2.21497E+12,,0,M,01719705362,,1,,,,,0,0,,,,
91,2,4,Ataur Rahman,169,dhh,sdhh,,sdhd,dhaah,5,1986-03-05,2016-12-21,2019-07-22,,13125,,0,,A+,M,,,0,,,,,1,0,,0000-00-00,,
117,2,5,Erfan Jahangir,189,gffgj,dfjf,,djj,fjd,6,1990-08-07,2018-05-24,2019-07-22,,13125,,0,,0,M,,,0,,,,,1,0,,0000-00-00,,
118,2,4,Md. Alifnur Hossain,BGS-0751,Abbas Ali ,Bilkis Begum,,"Vill:Purtamarbo Khutuamara ,Post:Rajarhat,Thana:Ja","Vill:Purtamarbo Khutuamara ,Post:Rajarhat,Thana:Ja",11,1989-08-08,2018-07-07,2021-03-01,,13125,13125,1.99173E+16,,A+,M,01762811650,,0,,,,,1,0,,0000-00-00,,
139,2,4,Md.Ripon Ali,BGS-0748,Md.Abdus Sattar,Parvin Khatun,,"Vill:Khandhakbaria,Post:Uttar Kachua,PS:Shailkupa,","Vill:Khandhakbaria,Post:Uttar Kachua,PS:Shailkupa,",10,1991-01-30,2018-10-01,,,13125,13125,1.91442E+15,,B-,M,01748155167,,1,,,,,1,0,,0000-00-00,59085,
161,2,10,Salaha Begum,Cook-0001,Bosisher Hang,Jahanara Begum,,dfdffg,dffgg,1,1983-02-05,2019-09-02,,,2000,,0,,0,F,01719234567,,1,,,,,0,0,,0000-00-00,,
193,2,5,Mongkhing,BGS-1006,Usangmong,Aumma,,"Vill: Harbang, Rakhine Para, P.O: Harbang, P.S: Ch","Vill: Harbang, Rakhine Para, P.O: Harbang, P.S: Ch",4,1994-07-01,2020-12-01,,,13125,,2400393407,,0,M,1832304423,,1,,,,,1,0,,0000-00-00,,
201,2,4,Mizanur Rahaman,BGS-0936,Late. Sayed Hossain,Rahena Begum,,"Palakata, 7 no Word, Chakaria PouroSova, Chakaria,","Palakata, 7 no Word, Chakaria PouroSova, Chakaria,",5,1997-10-25,2020-09-21,2023-12-03,,13125,,9155917249,0,B+,M,01842578644,,0,,,,,1,0,,0000-00-00,44044,
203,2,4,Sajjad Uddin,BGS-1042,Gulam Quddus,Anowara Begum,,"Sajjader Bari, 2nd Ward, Sun Mia Para, P/0-Kutubdi","East Gomdandi, Mojahid Para, Boalkhali, Chattogram",4,1996-12-04,2021-02-22,2021-08-07,,13125,,7344910083,0,0,M,01851208512,,0,,,,,1,0,,0000-00-00,,
222,2,4,Md. Khorshed Alam,BGS-1096,Md. Abdul Wazed Ali,Most. Deloyara Begum,,"Vill.- Raghobenropur, P.O.-Binadnogur, P.S-Nawabgo","Vill.- Raghobenropur, P.O.-Binadnogur, P.S-Nawabgo",4,1995-11-15,2021-07-06,,,13125,,1.99527E+16,,B+,M,01723889526,,1,,,,,1,0,,,31627,
242,2,4,Md. Rejaul Karim,BGS-1144,Md. Ayub Ali,Ayesha Begum,,"Vill: Kadima kata, Barbakiy, Post: Barbakiya, Peku","Vill: Kadima kata, Barbakiy, Post: Barbakiya, Peku",27,1989-04-09,2021-10-16,2022-02-24,,17300,,2.21561E+12,,0,M,01624555765,,0,,,,,1,0,,,,
258,2,4,Md. Farhad Sarker,BGS-1208,Md. Badsha Sarker,Mst. Dilful Begum,,"Vill: Maquri (Noyaoara), P.O: Chandapara, P.S: Gob","Vill: Maquri (Noyaoara), P.O: Chandapara, P.S: Gob",15,1997-01-27,2022-03-05,,,17300,,24036391,0,0,M,01820144899,,1,,,,,1,0,,,62087,
328,2,4,Abu Naime Md. Farok,BGS-1387,Md. Nurul Hoque,Gulchahar Begum,,"Vill: Notun Para, P.O: Dulahazara, Upazila: Chakar","Vill: Notun Para, P.O: Dulahazara, Upazila: Chakar",9,1994-05-05,2023-12-05,,10000,17300,,,7326592396,0,M,01828080581,,1,,,,,1,0,,,,
329,31,9,Rosemary Zemlak,8180,Florencio Kihn,Florencio Kihn,,"913 Melia Place, Lake Giuseppe, CO 55603","913 Melia Place, Lake Giuseppe, CO 55603",15,1976-04-05,2021-07-13,,,24625,,,6630965448,0,F,01579212341,,1,,,,,1,0,,,,
330,31,1,Emil Bogisich,5352,Anibal Doyle,Anibal Doyle,,"Suite 698 520 Lavonda Throughway, McClureton, WV 4","Suite 698 520 Lavonda Throughway, McClureton, WV 4",15,1978-12-15,2021-07-13,,,100000,,,5546480728,0,M,01577463521,,1,,,,,1,0,,,,
331,31,11,Mr. Blake Legros,1468,Dr. Willian Sanford,Dr. Willian Sanford,,"Suite 135 0343 Kemmer Avenue, Lake Rosarioside, VA","Suite 135 0343 Kemmer Avenue, Lake Rosarioside, VA",14,2001-03-03,2021-07-13,,,22000,,,5003422766,0,F,01570942404,,1,,,,,1,0,,,,
332,31,7,Timothy Adams,8812,Margorie Nikolaus,Margorie Nikolaus,,"Suite 292 07728 Rita Rapid, South Wiltonstad, MO 6","Suite 292 07728 Rita Rapid, South Wiltonstad, MO 6",6,1997-07-09,2021-07-13,,,50000,,,8630621191,0,M,01564212382,,1,,,,,1,0,,,,
333,31,6,Mr. Sparkle Wuckert,7132,Lyla Rogahn,Lyla Rogahn,,"5040 Kuhn Stream, Kesslerborough, NJ 19725","5040 Kuhn Stream, Kesslerborough, NJ 19725",23,1994-10-24,2021-07-13,,,35000,,,1712867737,0,M,01536304700,,1,,,,,1,0,,,,
334,31,1,Pearly Rau,1838,Dr. Kerry Kassulke,Dr. Kerry Kassulke,,"6542 Hauck Forge, Port Ahmed, OK 06161","6542 Hauck Forge, Port Ahmed, OK 06161",30,1987-09-27,2021-07-13,,,100000,,,2507508831,0,M,01580023120,,1,,,,,1,0,,,,
335,31,2,Ellamae Padberg,4901,Noriko Conn,Noriko Conn,,"09252 Veum Turnpike, South Augustinamouth, MA 7473","09252 Veum Turnpike, South Augustinamouth, MA 7473",30,1994-07-30,2021-07-13,,,37000,,,8616875235,0,M,01540396564,,1,,,,,1,0,,,,
336,31,12,Lynn Wintheiser,5530,Virgil Schuster,Virgil Schuster,,"Apt. 352 1672 Rich Branch, Jerroldtown, AR 10289-5","Apt. 352 1672 Rich Branch, Jerroldtown, AR 10289-5",19,1993-05-08,2021-07-13,,,22000,,,9194589346,0,F,01520775885,,1,,,,,1,0,,,,
337,30,4,Mr. Myles Feil,7166,Jonathan Denesik,Jonathan Denesik,,"6715 Parisian Light, Benjaminport, SD 89093-6029","6715 Parisian Light, Benjaminport, SD 89093-6029",3,2001-01-16,2021-07-13,,,17300,,,6196120667,0,F,01508055179,,1,,,,,1,0,,,,
